sensor_11,sensor_14,sensor_2,sensor_12_norm,sensor_12,sensor_11_norm,setting2,sensor_15,cycle,sensor_15_norm,setting3,sensor_13,sensor_13_norm,id,sensor_7_norm,sensor_17,sensor_21,sensor_4_norm,sensor_17_norm,sensor_4,sensor_9,sensor_3_norm,sensor_2_norm,setting1,sensor_9_norm,sensor_14_norm,sensor_3,sensor_8,sensor_20,sensor_7
42.02,8048.56,555.32,1.295317558367583,183.06,-0.267385195140274,0.84,9.3461,1,-0.3012094598506845,100.0,2387.72,-1.1480908856181258,1,1.301093208035123,334,8.8071,1.0349417759951067,0.8404167374700015,1137.23,8341.91,-0.0530350698022265,1.119364608289245,34.9983,0.1556349558358462,-1.899340687498204,1358.61,2222.65,14.73,194.64
42.2,8072.3,549.9,-0.7777885293386347,130.42,0.4557204801054101,0.8408,9.3774,2,0.4257874385597975,100.0,2387.66,-1.3371348873875428,1,-0.7771117602217745,330,6.2665,-0.4401403833122568,-1.0818772526249592,1125.78,8303.96,-0.7125490181877809,-0.6990157842504122,41.9982,-1.545910070161391,-0.5898146357696663,1353.22,2211.57,10.41,138.51
36.69,7864.87,537.31,-1.0121088449266709,164.22,-1.0347978973509324,0.6218,10.8941,3,0.9826348253695144,60.0,2028.03,-1.0090178414347128,1,-1.0038450842815876,309,8.6723,-1.0330627567548964,-0.9494374753368576,1047.45,8001.42,-1.0592915494065942,-0.9947841980986568,24.9988,-1.04584395196417,-1.1395801791483808,1256.76,1915.11,14.08,175.71
41.96,8068.66,549.51,-0.7659737150090016,130.72,-0.5084204202221784,0.8416,9.3528,4,-0.145590315462489,100.0,2387.61,-1.4946715555280072,1,-0.7789630028444863,329,6.4701,-0.36284350160181,-1.5624507501486993,1126.38,8303.96,-0.613438387725392,-0.8298586538242927,42.0077,-1.545910070161391,-0.7906012755460922,1354.03,2211.58,10.59,138.46
36.89,7861.23,537.07,-1.0109112728269434,164.31,-0.9825780439292132,0.6203,10.8963,5,0.9852487535514918,60.0,2028.0,-1.0091845815527094,1,-1.012143064071089,309,8.5286,-1.0283412790874156,-0.9494374753368576,1047.93,7993.23,-1.050778189901273,-1.001572980543762,25.0005,-1.0687541262787614,-1.1779834526347022,1257.71,1915.1,14.13,175.05
36.78,7868.87,537.02,-1.0114435270934887,164.27,-1.0112989633111582,0.6205,10.8912,6,0.9791891927659988,60.0,2028.01,-1.0091290015133771,1,-1.010634340472998,306,8.559,-1.0205705137596877,-1.052703427027395,1048.72,7996.1,-0.9730825826263968,-1.002987310219828,25.0045,-1.0607257745958687,-1.097378779712867,1266.38,1915.15,14.28,175.17
42.19,8075.54,549.74,-0.7750317393283862,130.49,0.4155479425917404,0.8409,9.3753,7,0.3770112888261767,100.0,2387.69,-1.2426128865021178,1,-0.7697067897309245,330,6.4227,-0.2584927112927376,-1.0818772526249592,1127.19,8307.75,-1.4185593117285464,-0.7526949102294312,42.0043,-1.375979750042,-0.4110924619027658,1347.45,2211.62,10.62,138.71
44.27,8049.26,607.44,0.9956873120498688,315.11,0.9443345473321936,0.7002,9.2369,8,-0.986365985163432,100.0,2387.99,0.9916412543673336,1,0.9914418741939652,365,14.7989,0.9825163866689156,0.9781936228865032,1252.36,8709.12,0.9564031385216338,0.9889546055489662,20.002,0.9338300849632238,0.8057988313302378,1481.69,2323.87,24.33,334.41
42.3,8065.78,549.33,-0.7561280364009744,130.97,0.8574458552418792,0.8407,9.3878,9,0.6673455134310277,100.0,2387.62,-1.4631642219004874,1,-0.7937729438261855,331,6.3802,-0.2249973958848861,-0.6013037551012189,1127.45,8312.33,-1.323119445357354,-0.8902476705506843,41.9995,-1.1706285980244224,-0.9494654300944648,1348.23,2211.61,10.69,138.06
42.02,8069.11,549.33,-0.7746379121840655,130.5,-0.267385195140274,0.84,9.3957,10,0.8508367433812627,100.0,2387.62,-1.4631642219004874,1,-0.7700770382554677,329,6.2847,-0.2687989621874814,-1.5624507501486993,1127.11,8302.31,-0.3234480245205908,-0.8902476705506843,42.0011,-1.6198902886829925,-0.7657787513979198,1356.4,2211.56,10.57,138.7
