sensor_11,sensor_14,sensor_2,sensor_12_norm,sensor_12,sensor_11_norm,setting2,sensor_15,cycle,sensor_15_norm,setting3,sensor_13,sensor_13_norm,id,sensor_7_norm,sensor_21_norm,sensor_17,sensor_21,sensor_4_norm,sensor_17_norm,sensor_4,sensor_9,sensor_3_norm,sensor_2_norm,sensor_20_norm,setting1,sensor_9_norm,sensor_3,sensor_8,sensor_8_norm,sensor_20,sensor_7
47.3,8145.32,642.36,-0.2218685374319358,522.31,-0.3858611564413164,0.0004,8.4246,1,0.463636058073321,100.0,2388.01,-0.3841829672573875,1,-0.3357385697585035,-0.2590014685189675,391,23.3537,-0.7799619890488193,-0.88710477411787,1396.84,9062.17,-0.7096317483348813,-0.1902697219952653,0.4904776755007378,-0.0005,-0.094205567701996,1583.23,2387.96,-0.6976729319873449,39.11,553.97
47.23,8152.85,642.5,-0.1879481505722599,522.42,-0.6183919162452031,-0.0003,8.4403,2,0.7220400470436459,100.0,2388.03,-0.2580811498043995,1,-0.1665190191963949,0.3784513489910861,392,23.4491,-0.7748667810470283,-0.3208904480639052,1396.89,9061.78,-0.4958685711551355,0.0749829457187114,0.0102038716691026,0.0008,-0.1135953863427086,1584.69,2388.0,-0.4459833066501495,38.99,554.55
47.22,8150.17,642.18,-0.3082113403474552,522.03,-0.6516105962171801,-0.0002,8.3901,3,-0.1041943635493337,100.0,2388.0,-0.4472338759853152,1,-0.2015299606920093,-0.1708004497439848,391,23.3669,0.1137374944620636,-0.88710477411787,1405.61,9070.23,-0.83847530718296,-0.5313088661991037,-0.5501155661344858,-0.0014,0.306517350873303,1582.35,2388.03,-0.2572160876458222,38.85,554.43
47.24,8146.56,642.92,-0.1806193687831697,522.49,-0.5963488993131668,0.0001,8.3878,4,-0.1302693315411189,100.0,2388.08,0.0442826999668019,1,0.0131351125396911,-0.6543020891985024,392,23.2951,-1.2594886351401189,-0.3211317089852388,1392.27,9064.57,-0.3682880136500602,0.8918672967819498,-0.1211791631457937,-0.002,0.009853938000506,1585.61,2388.0,-0.4690901725697916,38.96,555.21
47.15,8147.8,641.68,-0.1386094060490759,522.58,-0.8841413560210668,0.0,8.3869,5,-0.1568626925114299,100.0,2388.03,-0.2580811498043995,1,-0.1110850284949916,0.4399247863190979,392,23.4583,-0.6974196194200882,-0.3208904480639052,1397.65,9076.14,0.0809991809600625,-1.4786398223205417,0.6105461264586537,0.0016,0.6003476795060709,1588.63,2388.04,-0.1942936813129541,39.14,554.74
47.07,8144.92,642.24,-0.1879481505722599,522.42,-1.1498907957969304,-0.0005,8.4152,6,0.308922841747156,100.0,2388.02,-0.3211320585323271,1,-0.1081674500370265,0.2381315463945303,393,23.4281,-0.4569258017364396,0.2453238779900595,1400.01,9074.98,-0.5837164521879256,-0.4176291514644191,-0.2699558472326915,0.0011,0.5426753984207958,1584.09,2388.0,-0.4459833066501495,38.92,554.75
47.38,8147.05,642.58,-0.1898726918265406,522.46,-0.1267619172845065,0.0002,8.3842,7,-0.1900693610186935,100.0,2388.02,-0.3426163222500902,1,-0.170934660375762,0.1117767643679145,391,23.4087,-0.3497274935832467,-0.8901545617485607,1401.09,9074.65,-0.3682880136500602,0.2328028902511968,-0.6084366302437828,-0.0038,0.5153460321822004,1585.61,2388.04,-0.2116074550911015,38.84,554.58
47.31,8157.34,642.32,-0.2866256396185578,522.1,-0.3526424764693157,-0.0005,8.419,8,0.3714664823896526,100.0,2387.97,-0.6363866021662309,1,-0.0789916654573423,0.4446021130723053,391,23.459,-0.7555049906403106,-0.88710477411787,1397.08,9063.54,0.035611109093106,-0.2660561984849114,0.250340773584906,-0.0007,-0.0260926150408899,1588.32,2388.06,-0.0684488686443563,39.05,554.85
47.31,8147.2,641.64,-0.3841924757375056,521.83,-0.3615554082988367,0.0,8.4091,9,0.2235475095344836,100.0,2388.01,-0.4070994926181061,1,-0.3024130696011,0.5204420682950825,392,23.4693,0.2093320741308516,-0.3211317089852388,1406.51,9067.2,-0.0458035356789999,-1.5893163513343704,0.0006352036287107,-0.0026,0.1417432443197898,1587.81,2388.04,-0.2116074550911015,38.99,554.13
47.35,8152.86,642.42,-0.3317519163077795,521.96,-0.2043710587856109,-0.0002,8.3987,10,0.0354872065420745,100.0,2387.99,-0.4984947960379212,1,-0.1059131074540462,0.566937933046605,391,23.4781,-0.2178766201198115,-0.8877467129219903,1402.25,9070.04,-0.0927712633860262,-0.0539994134424422,-0.1925424734168317,0.0019,0.3174467328174045,1587.39,2387.99,-0.5004153866929848,38.94,554.78
